time,temperature_2m,relativehumidity_2m,pressure_msl,windspeed_10m,precipitation,city,lat,lon
2023-01-01T00:00,8.0,95,1020.1,6.9,0.0,delhi,28.6139,77.209
2023-01-01T01:00,8.0,95,1020.7,7.2,0.0,delhi,28.6139,77.209
2023-01-01T02:00,8.1,95,1021.1,7.6,0.0,delhi,28.6139,77.209
2023-01-01T03:00,9.5,90,1021.7,8.7,0.0,delhi,28.6139,77.209
2023-01-01T04:00,12.0,84,1022.5,6.9,0.0,delhi,28.6139,77.209
2023-01-01T05:00,14.4,75,1023.0,6.5,0.0,delhi,28.6139,77.209
2023-01-01T06:00,16.1,68,1022.6,6.3,0.0,delhi,28.6139,77.209
2023-01-01T07:00,17.3,63,1021.4,5.5,0.0,delhi,28.6139,77.209
2023-01-01T08:00,18.0,60,1020.4,6.0,0.0,delhi,28.6139,77.209
2023-01-01T09:00,18.3,56,1019.6,5.9,0.0,delhi,28.6139,77.209
2023-01-01T10:00,18.2,55,1019.2,5.8,0.0,delhi,28.6139,77.209
2023-01-01T11:00,17.4,62,1019.4,5.0,0.0,delhi,28.6139,77.209
2023-01-01T12:00,16.8,63,1020.0,4.9,0.0,delhi,28.6139,77.209
2023-01-01T13:00,15.8,67,1020.2,1.1,0.0,delhi,28.6139,77.209
2023-01-01T14:00,14.9,71,1020.6,1.8,0.0,delhi,28.6139,77.209
2023-01-01T15:00,12.0,82,1021.3,3.9,0.0,delhi,28.6139,77.209
2023-01-01T16:00,10.6,85,1021.2,5.5,0.0,delhi,28.6139,77.209
2023-01-01T17:00,10.8,82,1021.4,5.6,0.0,delhi,28.6139,77.209
2023-01-01T18:00,11.1,78,1021.2,5.4,0.0,delhi,28.6139,77.209
2023-01-01T19:00,9.2,86,1021.1,7.3,0.0,delhi,28.6139,77.209
2023-01-01T20:00,8.6,90,1020.8,8.1,0.0,delhi,28.6139,77.209
2023-01-01T21:00,8.1,92,1020.2,8.5,0.0,delhi,28.6139,77.209
2023-01-01T22:00,7.3,95,1020.3,9.2,0.0,delhi,28.6139,77.209
2023-01-01T23:00,8.9,92,1019.9,6.1,0.0,delhi,28.6139,77.209
2023-01-02T00:00,6.4,95,1020.7,5.1,0.0,delhi,28.6139,77.209
2023-01-02T01:00,6.7,95,1021.4,4.6,0.0,delhi,28.6139,77.209
2023-01-02T02:00,6.2,95,1022.2,5.0,0.0,delhi,28.6139,77.209
2023-01-02T03:00,8.8,91,1023.0,6.4,0.0,delhi,28.6139,77.209
2023-01-02T04:00,12.1,83,1023.7,4.0,0.0,delhi,28.6139,77.209
2023-01-02T05:00,15.0,73,1024.0,3.1,0.0,delhi,28.6139,77.209
2023-01-02T06:00,16.5,65,1023.2,2.0,0.0,delhi,28.6139,77.209
2023-01-02T07:00,17.5,58,1022.2,2.4,0.0,delhi,28.6139,77.209
2023-01-02T08:00,18.0,55,1021.2,4.1,0.0,delhi,28.6139,77.209
2023-01-02T09:00,18.1,53,1020.3,5.8,0.0,delhi,28.6139,77.209
2023-01-02T10:00,17.9,53,1019.7,7.0,0.0,delhi,28.6139,77.209
2023-01-02T11:00,17.0,59,1019.9,4.9,0.0,delhi,28.6139,77.209
2023-01-02T12:00,15.2,68,1020.7,3.7,0.0,delhi,28.6139,77.209
